id,comment,Не токсичный,Токсичный,Крайне токсичный,Непристойный,Угроза,Оскорбление,Ненависть к личности
a1b2c3d4,"Спасибо за полезную информацию, очень пригодилось!",1,0,0,0,0,0,0
e5f6g7h8,"Отличная статья, полностью согласен с автором.",1,0,0,0,0,0,0
i9j0k1l2,"Можно уточнить источник данных для третьего графика?",1,0,0,0,0,0,0
m3n4o5p6,"Пожалуйста, ведите себя прилично в комментариях.",1,0,0,0,0,0,0
q7r8s9t0,"Ваша точка зрения имеет право на существование.",1,0,0,0,0,0,0
u1v2w3x4,"Ты абсолютно ничего не понимаешь в этом вопросе.",0,1,0,0,0,1,0
y5z6a7b8,"Идиот, как можно так ошибаться в элементарных вещах?",0,1,0,1,0,1,0
c9d0e1f2,"Закрой свой рот, тупая ты корова!",0,1,0,1,0,1,0
g3h4i5j6,"Таких дебилов, как ты, нужно стерилизовать.",0,1,1,1,0,1,1
k7l8m9n0,"Я найду тебя и лично объясню, как надо говорить.",0,1,0,0,1,0,0
o1p2q3r4,"Все представители этой национальности - отбросы общества.",0,1,1,0,0,0,1
s5t6u7v8,"Мразь, я тебя в щепки разнесу!",0,1,1,1,1,1,1
w9x0y1z2,"Этот человек заслуживает только презрения и ненависти.",0,1,1,0,0,0,1
a3b4c5d6,"Вы все тут конченые идиоты и недоумки.",0,1,1,1,0,1,1
e7f8g9h0,"Пошел на хер со своими тупыми советами.",0,1,0,1,0,1,0
i1j2k3l4,"Жаль, что твои родители не предохранялись.",0,1,1,1,0,1,1
m5n6o7p8,"Надеюсь, тебя уволят с работы за такое мнение.",0,1,0,0,0,0,1
q9r0s1t2,"Тварь бесполезная, даже говорить с тобой противно.",0,1,1,1,0,1,1
u3v4w5x6,"При всем уважении, я вынужден не согласиться.",1,0,0,0,0,0,0
y7z8a9b0,"Интересная перспектива, я об этом не задумывался.",1,0,0,0,0,0,0